Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2024-04-03,19:30,Libertadores,Group stage,Wed,Away,D,1,1,peAlianza Lima,0.5,1.1,77,"19,779",Felipe Melo,4-2-3-1,3-5-2,,Match Report,
2024-04-09,21:00,Libertadores,Group stage,Tue,Home,W,2,1,clColo-Colo,0.6,1.4,52,,Felipe Melo,4-2-3-1,4-3-3,,Match Report,
2024-04-13,21:00,Série A,Matchweek 1,Sat,Home,D,2,2,Red Bull Bragantino,1.8,1.2,69,"17,645",Felipe Melo,4-2-3-1,4-3-3,,Match Report,
2024-04-16,21:30,Série A,Matchweek 2,Tue,Away,L,1,2,Bahia,0.4,1.1,60,"23,080",Fábio,4-2-3-1,4-2-3-1,,Match Report,
2024-04-20,16:00,Série A,Matchweek 3,Sat,Home,W,2,1,Vasco da Gama,1.3,1.9,57,"25,842",Felipe Melo,4-2-3-1,4-3-3,,Match Report,
2024-04-25,18:00,Libertadores,Group stage,Thu,Away,D,0,0,pyCerro Porteño,0.2,0.4,72,"26,365",Felipe Melo,4-2-3-1,4-2-3-1,,Match Report,
2024-04-28,16:00,Série A,Matchweek 4,Sun,Away,L,0,3,Corinthians,0.4,1.2,69,"42,119",Felipe Melo,4-2-3-1,4-3-3,,Match Report,
2024-05-04,16:00,Série A,Matchweek 5,Sat,Home,D,2,2,Atlético Mineiro,1.8,1.3,43,"5,168",Felipe Melo,4-2-3-1,4-4-2,,Match Report,
2024-05-09,20:00,Libertadores,Group stage,Thu,Away,W,1,0,clColo-Colo,0.3,1.0,37,"41,285",Felipe Melo,4-2-3-1,4-3-3,,Match Report,
2024-05-13,20:00,Série A,Matchweek 6,Mon,Away,L,1,2,São Paulo,0.6,1.8,50,"39,515",Fábio,4-2-3-1,4-2-3-1,,Match Report,
2024-05-16,19:00,Libertadores,Group stage,Thu,Home,W,2,1,pyCerro Porteño,1.0,0.7,73,"42,232",Fábio,4-2-3-1,4-4-2,,Match Report,
2024-05-29,21:30,Libertadores,Group stage,Wed,Home,W,3,2,peAlianza Lima,1.7,1.3,70,"38,404",Felipe Melo,4-2-3-1,3-5-2,,Match Report,
2024-06-01,18:30,Série A,Matchweek 7,Sat,Home,D,1,1,Juventude,2.3,1.3,62,"21,037",Felipe Melo,4-2-3-1,4-2-3-1,,Match Report,
2024-06-11,20:00,Série A,Matchweek 8,Tue,Away,L,0,1,Botafogo (RJ),0.2,1.7,56,"27,239",Fábio,4-2-3-1,4-4-1-1,,Match Report,
2024-06-15,21:00,Série A,Matchweek 9,Sat,Home,L,1,2,Atl Goianiense,0.7,1.8,56,"14,485",Felipe Melo,4-2-3-1,4-3-3,,Match Report,
2024-06-19,21:30,Série A,Matchweek 10,Wed,Away,L,0,2,Cruzeiro,0.3,1.8,65,"28,812",Fábio,4-2-3-1,4-3-2-1,,Match Report,
2024-06-23,16:00,Série A,Matchweek 11,Sun,Home,L,0,1,Flamengo,0.3,2.0,54,"57,098",Fábio,4-4-2,4-2-3-1,,Match Report,
2024-06-27,19:00,Série A,Matchweek 12,Thu,Home,L,0,1,Vitória,0.3,0.5,63,"24,269",Marcelo,4-2-3-1,4-1-4-1,,Match Report,
2024-06-30,16:00,Série A,Matchweek 13,Sun,Away,L,0,1,Grêmio,0.5,1.0,52,"8,549",Marcelo,3-4-3,4-2-3-1,,Match Report,
2024-07-04,20:00,Série A,Matchweek 14,Thu,Home,D,1,1,Internacional,0.3,0.7,55,,Fábio,4-2-3-1,4-2-3-1,,Match Report,
2024-07-07,16:00,Série A,Matchweek 15,Sun,Away,L,0,1,Fortaleza,0.3,2.0,58,,Fábio,4-2-3-1,4-2-3-1,,Match Report,
2024-07-11,20:00,Série A,Matchweek 16,Thu,Away,D,1,1,Criciúma,2.1,1.1,60,,Fábio,4-2-3-1,4-4-2,,Match Report,
2024-07-17,,Série A,Matchweek 17,Wed,Home,,,,Ath Paranaense,,,,,,,,,,Match Postponed
2024-07-21,19:00,Série A,Matchweek 18,Sun,Away,W,1,0,Cuiabá,1.3,0.6,52,,Thiago Silva,4-5-1,4-5-1,,Match Report,
2024-07-24,21:30,Série A,Matchweek 19,Wed,Home,W,1,0,Palmeiras,1.0,0.1,51,,Thiago Silva,4-2-3-1,4-2-3-1,,Match Report,
2024-07-28,11:00,Série A,Matchweek 20,Sun,Away,W,1,0,Red Bull Bragantino,0.8,0.4,42,"7,304",Thiago Silva,4-2-3-1,4-2-3-1,,Match Report,
2024-08-04,16:00,Série A,Matchweek 21,Sun,Home,W,1,0,Bahia,1.1,1.7,49,,Thiago Silva,4-2-3-1,4-3-3,,Match Report,
2024-08-10,21:30,Série A,Matchweek 22,Sat,Away,L,0,2,Vasco da Gama,0.8,1.2,56,,Fábio,4-2-3-1,4-2-3-1,,Match Report,
2024-08-13,19:00,Libertadores,Round of 16,Tue,Away,L,1,2,brGrêmio,1.2,1.3,59,"18,645",Thiago Silva,4-2-3-1,4-2-3-1,,Match Report,Leg 1 of 2
2024-08-17,21:00,Série A,Matchweek 23,Sat,Home,D,0,0,Corinthians,0.6,1.1,55,,Thiago Silva,4-2-3-1,3-4-3,,Match Report,
2024-08-20,19:00,Libertadores,Round of 16,Tue,Home,W,2(4),1(2),brGrêmio,1.4,1.1,52,,Thiago Silva,4-2-3-1,3-4-3,,Match Report,Leg 2 of 2; Fluminense won; Fluminense won on penalty kicks following extra time
2024-08-24,21:00,Série A,Matchweek 24,Sat,Away,W,2,0,Atlético Mineiro,0.7,0.5,40,,Felipe Melo,4-2-3-1,3-4-1-2,,Match Report,
2024-09-01,18:30,Série A,Matchweek 25,Sun,Home,W,2,0,São Paulo,0.5,0.8,44,,Thiago Silva,4-2-3-1,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,
